DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2023-11-03,Brooklyn Nets,109.0,Chicago Bulls,107.0
2023-11-03,Washington Wizards,114.0,Miami Heat,121.0
2023-11-03,Golden State Warriors,141.0,Oklahoma City Thunder,139.0
2023-11-03,Dallas Mavericks,114.0,Denver Nuggets,125.0
2023-11-03,Memphis Grizzlies,113.0,Portland Trail Blazers,115.0
2023-11-04,Phoenix Suns,100.0,Philadelphia 76ers,112.0
2023-11-04,Charlotte Hornets,125.0,Indiana Pacers,124.0
2023-11-04,Atlanta Hawks,123.0,New Orleans Pelicans,105.0
2023-11-04,Los Angeles Lakers,101.0,Orlando Magic,120.0
2023-11-04,Boston Celtics,124.0,Brooklyn Nets,114.0
2023-11-04,Sacramento Kings,89.0,Houston Rockets,107.0
2023-11-04,Utah Jazz,95.0,Minnesota Timberwolves,123.0
2023-11-04,Chicago Bulls,101.0,Denver Nuggets,123.0
2023-11-05,Phoenix Suns,120.0,Detroit Pistons,106.0
2023-11-05,Toronto Raptors,123.0,San Antonio Spurs,116.0
2023-11-05,Golden State Warriors,104.0,Cleveland Cavaliers,115.0
2023-11-05,Charlotte Hornets,118.0,Dallas Mavericks,124.0
2023-11-05,Memphis Grizzlies,112.0,Portland Trail Blazers,100.0
2023-11-06,Golden State Warriors,120.0,Detroit Pistons,109.0
2023-11-06,San Antonio Spurs,111.0,Indiana Pacers,152.0
2023-11-06,Dallas Mavericks,117.0,Orlando Magic,102.0
2023-11-06,Washington Wizards,128.0,Philadelphia 76ers,146.0
2023-11-06,Milwaukee Bucks,129.0,Brooklyn Nets,125.0
2023-11-06,Los Angeles Lakers,107.0,Miami Heat,108.0
2023-11-06,Los Angeles Clippers,97.0,New York Knicks,111.0
2023-11-06,Utah Jazz,113.0,Chicago Bulls,130.0
2023-11-06,Sacramento Kings,97.0,Houston Rockets,122.0
2023-11-06,Boston Celtics,109.0,Minnesota Timberwolves,114.0
2023-11-06,Atlanta Hawks,117.0,Oklahoma City Thunder,126.0
2023-11-06,New Orleans Pelicans,116.0,Denver Nuggets,134.0
2023-11-08,Washington Wizards,132.0,Charlotte Hornets,116.0
2023-11-08,Utah Jazz,118.0,Indiana Pacers,134.0
2023-11-08,Boston Celtics,103.0,Philadelphia 76ers,106.0
2023-11-08,Los Angeles Clippers,93.0,Brooklyn Nets,100.0
2023-11-08,San Antonio Spurs,105.0,New York Knicks,126.0
2023-11-08,Phoenix Suns,116.0,Chicago Bulls,115.0
2023-11-08,Los Angeles Lakers,94.0,Houston Rockets,128.0
2023-11-08,Miami Heat,108.0,Memphis Grizzlies,102.0
2023-11-08,Detroit Pistons,118.0,Milwaukee Bucks,120.0
2023-11-08,New Orleans Pelicans,101.0,Minnesota Timberwolves,122.0
2023-11-08,Cleveland Cavaliers,120.0,Oklahoma City Thunder,128.0
2023-11-08,Toronto Raptors,127.0,Dallas Mavericks,116.0
2023-11-08,Golden State Warriors,105.0,Denver Nuggets,108.0
2023-11-08,Portland Trail Blazers,118.0,Sacramento Kings,121.0
2023-11-09,Milwaukee Bucks,124.0,Indiana Pacers,126.0
2023-11-09,Atlanta Hawks,120.0,Orlando Magic,119.0
2023-11-10,Philadelphia 76ers,114.0,Detroit Pistons,106.0
2023-11-10,Charlotte Hornets,124.0,Washington Wizards,117.0
2023-11-10,Brooklyn Nets,107.0,Boston Celtics,121.0
2023-11-10,New Orleans Pelicans,101.0,Houston Rockets,104.0
2023-11-10,Utah Jazz,127.0,Memphis Grizzlies,121.0
2023-11-10,Minnesota Timberwolves,117.0,San Antonio Spurs,110.0
2023-11-10,Los Angeles Clippers,126.0,Dallas Mavericks,144.0
2023-11-10,Los Angeles Lakers,122.0,Phoenix Suns,119.0
2023-11-10,Oklahoma City Thunder,98.0,Sacramento Kings,105.0
2023-11-11,Milwaukee Bucks,97.0,Orlando Magic,112.0
2023-11-11,Toronto Raptors,94.0,Boston Celtics,117.0
2023-11-11,Miami Heat,117.0,Atlanta Hawks,109.0
2023-11-11,Cleveland Cavaliers,118.0,Golden State Warriors,110.0
2023-11-12,Charlotte Hornets,107.0,New York Knicks,129.0
2023-11-12,Washington Wizards,94.0,Brooklyn Nets,102.0
2023-11-12,Memphis Grizzlies,105.0,Los Angeles Clippers,101.0
2023-11-12,Indiana Pacers,126.0,Philadelphia 76ers,137.0
2023-11-12,Detroit Pistons,108.0,Chicago Bulls,119.0
2023-11-12,Denver Nuggets,104.0,Houston Rockets,107.0
2023-11-12,Dallas Mavericks,136.0,New Orleans Pelicans,124.0
2023-11-12,Miami Heat,118.0,San Antonio Spurs,113.0
2023-11-12,Oklahoma City Thunder,111.0,Phoenix Suns,99.0
2023-11-12,Minnesota Timberwolves,116.0,Golden State Warriors,110.0
2023-11-12,Portland Trail Blazers,110.0,Los Angeles Lakers,116.0
2023-11-13,New York Knicks,98.0,Boston Celtics,114.0
2023-11-13,Washington Wizards,107.0,Toronto Raptors,111.0
2023-11-13,Chicago Bulls,109.0,Milwaukee Bucks,118.0
2023-11-13,Cleveland Cavaliers,120.0,Sacramento Kings,132.0
2023-11-14,Miami Heat,111.0,Charlotte Hornets,105.0
2023-11-14,Atlanta Hawks,126.0,Detroit Pistons,120.0
2023-11-14,Indiana Pacers,132.0,Philadelphia 76ers,126.0
2023-11-14,Orlando Magic,104.0,Brooklyn Nets,124.0
2023-11-14,San Antonio Spurs,87.0,Oklahoma City Thunder,123.0
2023-11-14,Dallas Mavericks,110.0,New Orleans Pelicans,131.0
2023-11-14,Portland Trail Blazers,99.0,Utah Jazz,115.0
2023-11-14,Los Angeles Clippers,108.0,Denver Nuggets,111.0
2023-11-14,Minnesota Timberwolves,104.0,Golden State Warriors,101.0
2023-11-14,Memphis Grizzlies,107.0,Los Angeles Lakers,134.0
2023-11-15,Dallas Mavericks,130.0,Washington Wizards,117.0
2023-11-15,New York Knicks,116.0,Atlanta Hawks,114.0
2023-11-15,Boston Celtics,117.0,Philadelphia 76ers,107.0
2023-11-15,Milwaukee Bucks,128.0,Toronto Raptors,112.0
2023-11-15,Orlando Magic,96.0,Chicago Bulls,94.0
2023-11-15,Minnesota Timberwolves,115.0,Phoenix Suns,133.0
2023-11-15,Sacramento Kings,125.0,Los Angeles Lakers,110.0
2023-11-15,Cleveland Cavaliers,109.0,Portland Trail Blazers,95.0
2023-11-16,Brooklyn Nets,115.0,Miami Heat,122.0
2023-11-16,Oklahoma City Thunder,128.0,Golden State Warriors,109.0
2023-11-17,Milwaukee Bucks,130.0,Charlotte Hornets,99.0
2023-11-17,New York Knicks,120.0,Washington Wizards,99.0
2023-11-17,Philadelphia 76ers,126.0,Atlanta Hawks,116.0
2023-11-17,Detroit Pistons,100.0,Cleveland Cavaliers,108.0
2023-11-17,Sacramento Kings,129.0,San Antonio Spurs,120.0
2023-11-17,Boston Celtics,108.0,Toronto Raptors,105.0
2023-11-17,Orlando Magic,103.0,Chicago Bulls,97.0
2023-11-17,Denver Nuggets,110.0,New Orleans Pelicans,115.0
2023-11-17,Los Angeles Lakers,107.0,Portland Trail Blazers,95.0
2023-11-17,Phoenix Suns,131.0,Utah Jazz,128.0
2023-11-17,Houston Rockets,100.0,Los Angeles Clippers,106.0
2023-11-18,New York Knicks,122.0,Charlotte Hornets,108.0
2023-11-18,Minnesota Timberwolves,121.0,New Orleans Pelicans,120.0
2023-11-18,Miami Heat,97.0,Chicago Bulls,102.0
2023-11-18,Dallas Mavericks,125.0,Milwaukee Bucks,132.0
2023-11-18,Memphis Grizzlies,120.0,San Antonio Spurs,108.0
2023-11-18,Oklahoma City Thunder,130.0,Golden State Warriors,123.0
2023-11-19,Philadelphia 76ers,121.0,Brooklyn Nets,99.0
2023-11-19,Detroit Pistons,113.0,Toronto Raptors,142.0
2023-11-19,Orlando Magic,128.0,Indiana Pacers,116.0
2023-11-19,Denver Nuggets,109.0,Cleveland Cavaliers,121.0
2023-11-19,Sacramento Kings,129.0,Dallas Mavericks,113.0
2023-11-19,Boston Celtics,102.0,Memphis Grizzlies,100.0
2023-11-19,Phoenix Suns,140.0,Utah Jazz,137.0
2023-11-19,Oklahoma City Thunder,134.0,Portland Trail Blazers,91.0
2023-11-19,Houston Rockets,104.0,Los Angeles Lakers,105.0
2023-11-20,Boston Celtics,118.0,Charlotte Hornets,121.0
2023-11-20,Denver Nuggets,107.0,Detroit Pistons,103.0
2023-11-20,Milwaukee Bucks,142.0,Washington Wizards,129.0
2023-11-20,Miami Heat,118.0,Chicago Bulls,100.0
2023-11-20,New York Knicks,100.0,Minnesota Timberwolves,117.0
2023-11-20,Sacramento Kings,93.0,New Orleans Pelicans,129.0
2023-11-20,Los Angeles Clippers,124.0,San Antonio Spurs,99.0
2023-11-20,Houston Rockets,116.0,Golden State Warriors,121.0
2023-11-21,Toronto Raptors,107.0,Orlando Magic,126.0
2023-11-21,Indiana Pacers,157.0,Atlanta Hawks,152.0
2023-11-21,Cleveland Cavaliers,122.0,Philadelphia 76ers,119.0
2023-11-21,Portland Trail Blazers,107.0,Phoenix Suns,120.0
2023-11-21,Utah Jazz,99.0,Los Angeles Lakers,131.0
2023-11-22,Washington Wizards,114.0,Charlotte Hornets,117.0
2023-11-22,Denver Nuggets,119.0,Orlando Magic,124.0
2023-11-22,Brooklyn Nets,145.0,Atlanta Hawks,147.0
2023-11-22,Milwaukee Bucks,116.0,Boston Celtics,119.0
2023-11-22,Miami Heat,129.0,Cleveland Cavaliers,96.0
2023-11-22,Toronto Raptors,132.0,Indiana Pacers,131.0
2023-11-22,Memphis Grizzlies,91.0,Houston Rockets,111.0
2023-11-22,Philadelphia 76ers,99.0,Minnesota Timberwolves,112.0
2023-11-22,Sacramento Kings,112.0,New Orleans Pelicans,117.0
2023-11-22,Chicago Bulls,102.0,Oklahoma City Thunder,116.0
2023-11-22,Los Angeles Clippers,109.0,San Antonio Spurs,102.0
2023-11-22,Golden State Warriors,115.0,Phoenix Suns,123.0
2023-11-22,Utah Jazz,105.0,Portland Trail Blazers,121.0
2023-11-22,Dallas Mavericks,104.0,Los Angeles Lakers,101.0
2023-11-24,Boston Celtics,96.0,Orlando Magic,113.0
2023-11-24,Phoenix Suns,110.0,Memphis Grizzlies,89.0
2023-11-24,Miami Heat,98.0,New York Knicks,100.0
2023-11-24,Chicago Bulls,108.0,Toronto Raptors,121.0
2023-11-24,Denver Nuggets,86.0,Houston Rockets,105.0
2023-11-24,Detroit Pistons,113.0,Indiana Pacers,136.0
2023-11-24,Washington Wizards,128.0,Milwaukee Bucks,131.0
2023-11-24,Sacramento Kings,124.0,Minnesota Timberwolves,111.0
2023-11-24,San Antonio Spurs,112.0,Golden State Warriors,118.0
2023-11-24,New Orleans Pelicans,116.0,Los Angeles Clippers,106.0
2023-11-25,Philadelphia 76ers,127.0,Oklahoma City Thunder,123.0
2023-11-25,Miami Heat,97.0,Brooklyn Nets,112.0
2023-11-25,Atlanta Hawks,136.0,Washington Wizards,108.0
2023-11-25,Los Angeles Lakers,121.0,Cleveland Cavaliers,115.0
2023-11-25,New Orleans Pelicans,100.0,Utah Jazz,105.0
2023-11-25,Dallas Mavericks,88.0,Los Angeles Clippers,107.0
2023-11-26,Portland Trail Blazers,102.0,Milwaukee Bucks,108.0
2023-11-26,Atlanta Hawks,103.0,Boston Celtics,113.0
2023-11-26,Minnesota Timberwolves,119.0,Memphis Grizzlies,97.0
2023-11-26,Phoenix Suns,116.0,New York Knicks,113.0
2023-11-26,Charlotte Hornets,117.0,Orlando Magic,130.0
2023-11-26,Chicago Bulls,109.0,Brooklyn Nets,118.0
2023-11-26,Toronto Raptors,102.0,Cleveland Cavaliers,105.0
2023-11-26,San Antonio Spurs,120.0,Denver Nuggets,132.0
2023-11-27,Washington Wizards,126.0,Detroit Pistons,107.0
2023-11-27,Portland Trail Blazers,114.0,Indiana Pacers,110.0
2023-11-27,Los Angeles Lakers,94.0,Philadelphia 76ers,138.0
2023-11-27,New Orleans Pelicans,112.0,Utah Jazz,114.0
2023-11-27,Denver Nuggets,113.0,Los Angeles Clippers,104.0
2023-11-28,Chicago Bulls,97.0,Boston Celtics,124.0
2023-11-28,Toronto Raptors,103.0,Brooklyn Nets,115.0
2023-11-28,Atlanta Hawks,105.0,Cleveland Cavaliers,128.0
2023-11-28,Milwaukee Bucks,131.0,Miami Heat,124.0
2023-11-28,Charlotte Hornets,91.0,New York Knicks,115.0
2023-11-28,Oklahoma City Thunder,103.0,Minnesota Timberwolves,106.0
2023-11-28,Houston Rockets,115.0,Dallas Mavericks,121.0
2023-11-28,Golden State Warriors,123.0,Sacramento Kings,124.0
2023-11-29,Los Angeles Lakers,133.0,Detroit Pistons,107.0
2023-11-29,Washington Wizards,120.0,Orlando Magic,139.0
2023-11-29,Phoenix Suns,105.0,Toronto Raptors,112.0
2023-11-29,Utah Jazz,91.0,Memphis Grizzlies,105.0
2023-11-29,Philadelphia 76ers,114.0,New Orleans Pelicans,124.0
2023-11-29,Houston Rockets,124.0,Denver Nuggets,134.0
2023-11-29,Los Angeles Clippers,131.0,Sacramento Kings,117.0
2023-11-30,Portland Trail Blazers,103.0,Cleveland Cavaliers,95.0
2023-11-30,Charlotte Hornets,129.0,Brooklyn Nets,128.0
2023-11-30,Indiana Pacers,132.0,Miami Heat,142.0
2023-11-30,Detroit Pistons,112.0,New York Knicks,118.0
2023-11-30,Milwaukee Bucks,113.0,Chicago Bulls,120.0
2023-11-30,Utah Jazz,90.0,Minnesota Timberwolves,101.0
2023-11-30,Los Angeles Lakers,110.0,Oklahoma City Thunder,133.0
2023-11-30,Atlanta Hawks,137.0,San Antonio Spurs,135.0
2023-11-30,Los Angeles Clippers,114.0,Golden State Warriors,120.0
2023-12-01,Washington Wizards,125.0,Orlando Magic,130.0
2023-12-01,Philadelphia 76ers,119.0,Boston Celtics,125.0
2023-12-01,Memphis Grizzlies,108.0,Dallas Mavericks,94.0
2023-12-01,New York Knicks,119.0,Toronto Raptors,106.0
2023-12-01,San Antonio Spurs,106.0,New Orleans Pelicans,121.0
2023-12-01,Denver Nuggets,119.0,Phoenix Suns,111.0
2023-12-02,Golden State Warriors,112.0,Los Angeles Clippers,113.0
2023-12-02,Minnesota Timberwolves,123.0,Charlotte Hornets,117.0
2023-12-02,Orlando Magic,101.0,Brooklyn Nets,129.0
2023-12-02,Cleveland Cavaliers,110.0,Detroit Pistons,101.0
2023-12-02,New Orleans Pelicans,118.0,Chicago Bulls,124.0
2023-12-02,Indiana Pacers,144.0,Miami Heat,129.0
2023-12-02,Atlanta Hawks,121.0,Milwaukee Bucks,132.0
2023-12-02,Oklahoma City Thunder,126.0,Dallas Mavericks,120.0
2023-12-02,Memphis Grizzlies,109.0,Phoenix Suns,116.0
2023-12-02,Portland Trail Blazers,113.0,Utah Jazz,118.0
2023-12-02,Denver Nuggets,117.0,Sacramento Kings,123.0
2023-12-02,Houston Rockets,97.0,Los Angeles Lakers,107.0
2023-12-04,Boston Celtics,112.0,Indiana Pacers,122.0
2023-12-04,New Orleans Pelicans,127.0,Sacramento Kings,117.0
2023-12-05,New York Knicks,122.0,Milwaukee Bucks,146.0
2023-12-05,Phoenix Suns,103.0,Los Angeles Lakers,106.0
2023-12-06,Orlando Magic,111.0,Cleveland Cavaliers,121.0
2023-12-06,Memphis Grizzlies,116.0,Detroit Pistons,102.0
2023-12-06,Philadelphia 76ers,131.0,Washington Wizards,126.0
2023-12-06,Brooklyn Nets,114.0,Atlanta Hawks,113.0
2023-12-06,San Antonio Spurs,94.0,Minnesota Timberwolves,102.0
2023-12-06,Miami Heat,112.0,Toronto Raptors,103.0
2023-12-06,Charlotte Hornets,100.0,Chicago Bulls,111.0
2023-12-06,Oklahoma City Thunder,101.0,Houston Rockets,110.0
2023-12-06,Utah Jazz,97.0,Dallas Mavericks,147.0
2023-12-06,Portland Trail Blazers,106.0,Golden State Warriors,110.0
2023-12-06,Denver Nuggets,102.0,Los Angeles Clippers,111.0
2023-12-07,Indiana Pacers,128.0,Milwaukee Bucks,119.0
2023-12-07,New Orleans Pelicans,89.0,Los Angeles Lakers,133.0
2023-12-08,Toronto Raptors,116.0,Charlotte Hornets,119.0
2023-12-08,Detroit Pistons,91.0,Orlando Magic,123.0
2023-12-08,Atlanta Hawks,114.0,Philadelphia 76ers,125.0
2023-12-08,New York Knicks,123.0,Boston Celtics,133.0
2023-12-08,Washington Wizards,97.0,Brooklyn Nets,124.0
2023-12-08,Minnesota Timberwolves,127.0,Memphis Grizzlies,103.0
2023-12-08,Cleveland Cavaliers,111.0,Miami Heat,99.0
2023-12-08,Golden State Warriors,136.0,Oklahoma City Thunder,138.0
2023-12-08,Chicago Bulls,121.0,San Antonio Spurs,112.0
2023-12-08,Houston Rockets,114.0,Denver Nuggets,106.0
2023-12-08,Sacramento Kings,114.0,Phoenix Suns,106.0
2023-12-08,Dallas Mavericks,125.0,Portland Trail Blazers,112.0
2023-12-08,Los Angeles Clippers,117.0,Utah Jazz,103.0
2023-12-09,Indiana Pacers,109.0,Los Angeles Lakers,123.0
2023-12-11,Miami Heat,116.0,Charlotte Hornets,114.0
2023-12-11,Indiana Pacers,131.0,Detroit Pistons,123.0
2023-12-11,Cleveland Cavaliers,94.0,Orlando Magic,104.0
2023-12-11,Washington Wizards,101.0,Philadelphia 76ers,146.0
2023-12-11,Denver Nuggets,129.0,Atlanta Hawks,122.0
2023-12-11,Toronto Raptors,130.0,New York Knicks,136.0
2023-12-11,San Antonio Spurs,82.0,Houston Rockets,93.0
2023-12-11,Dallas Mavericks,120.0,Memphis Grizzlies,113.0
2023-12-11,Chicago Bulls,129.0,Milwaukee Bucks,133.0
2023-12-11,Minnesota Timberwolves,107.0,New Orleans Pelicans,121.0
2023-12-11,Utah Jazz,120.0,Oklahoma City Thunder,134.0
2023-12-11,Brooklyn Nets,118.0,Sacramento Kings,131.0
2023-12-11,Portland Trail Blazers,127.0,Los Angeles Clippers,132.0
2023-12-12,Cleveland Cavaliers,113.0,Boston Celtics,120.0
2023-12-12,Los Angeles Lakers,125.0,Dallas Mavericks,127.0
2023-12-12,Denver Nuggets,114.0,Chicago Bulls,106.0
2023-12-12,Golden State Warriors,116.0,Phoenix Suns,119.0
2023-12-12,Sacramento Kings,99.0,Los Angeles Clippers,119.0
2023-12-13,Philadelphia 76ers,129.0,Detroit Pistons,111.0
2023-12-13,New Orleans Pelicans,142.0,Washington Wizards,122.0
2023-12-13,Charlotte Hornets,104.0,Miami Heat,115.0
2023-12-13,Atlanta Hawks,128.0,Toronto Raptors,135.0
2023-12-13,Memphis Grizzlies,104.0,Houston Rockets,117.0
2023-12-13,Indiana Pacers,126.0,Milwaukee Bucks,140.0
2023-12-13,Los Angeles Lakers,122.0,San Antonio Spurs,119.0
2023-12-13,Brooklyn Nets,116.0,Phoenix Suns,112.0
2023-12-13,New York Knicks,113.0,Utah Jazz,117.0
2023-12-14,Cleveland Cavaliers,107.0,Boston Celtics,116.0
2023-12-14,Chicago Bulls,124.0,Miami Heat,116.0
2023-12-14,Minnesota Timberwolves,119.0,Dallas Mavericks,101.0
2023-12-14,Brooklyn Nets,101.0,Denver Nuggets,124.0
2023-12-14,Utah Jazz,122.0,Portland Trail Blazers,114.0
2023-12-14,Oklahoma City Thunder,123.0,Sacramento Kings,128.0
2023-12-14,Golden State Warriors,113.0,Los Angeles Clippers,121.0
2023-12-15,New Orleans Pelicans,112.0,Charlotte Hornets,107.0
2023-12-15,Detroit Pistons,92.0,Philadelphia 76ers,124.0
2023-12-15,Indiana Pacers,123.0,Washington Wizards,137.0
2023-12-15,Orlando Magic,111.0,Boston Celtics,128.0
2023-12-15,Los Angeles Lakers,115.0,San Antonio Spurs,129.0
2023-12-15,Atlanta Hawks,125.0,Toronto Raptors,104.0
2023-12-15,Houston Rockets,103.0,Memphis Grizzlies,96.0
2023-12-15,New York Knicks,139.0,Phoenix Suns,122.0
2023-12-16,Detroit Pistons,114.0,Milwaukee Bucks,146.0
2023-12-16,Philadelphia 76ers,135.0,Charlotte Hornets,82.0
2023-12-16,Atlanta Hawks,119.0,Cleveland Cavaliers,127.0
2023-12-16,Chicago Bulls,116.0,Miami Heat,118.0
2023-12-16,Indiana Pacers,109.0,Minnesota Timberwolves,127.0
2023-12-16,Brooklyn Nets,120.0,Golden State Warriors,124.0
2023-12-16,Oklahoma City Thunder,118.0,Denver Nuggets,117.0
2023-12-16,Dallas Mavericks,131.0,Portland Trail Blazers,120.0
2023-12-16,Utah Jazz,104.0,Sacramento Kings,125.0
2023-12-16,New York Knicks,122.0,Los Angeles Clippers,144.0
2023-12-17,Orlando Magic,97.0,Boston Celtics,114.0
2023-12-17,New Orleans Pelicans,146.0,San Antonio Spurs,110.0
2023-12-17,Houston Rockets,119.0,Milwaukee Bucks,128.0
2023-12-17,Washington Wizards,108.0,Phoenix Suns,112.0
2023-12-17,Golden State Warriors,118.0,Portland Trail Blazers,114.0
2023-12-18,Houston Rockets,130.0,Cleveland Cavaliers,135.0
2023-12-18,Los Angeles Clippers,151.0,Indiana Pacers,127.0
2023-12-18,Chicago Bulls,108.0,Philadelphia 76ers,104.0
2023-12-18,Detroit Pistons,124.0,Atlanta Hawks,130.0
2023-12-18,Minnesota Timberwolves,112.0,Miami Heat,108.0
2023-12-18,Charlotte Hornets,99.0,Toronto Raptors,114.0
2023-12-18,Memphis Grizzlies,97.0,Oklahoma City Thunder,116.0
2023-12-18,Dallas Mavericks,104.0,Denver Nuggets,130.0
2023-12-18,Brooklyn Nets,108.0,Utah Jazz,125.0
2023-12-18,Washington Wizards,131.0,Sacramento Kings,143.0
2023-12-18,New York Knicks,114.0,Los Angeles Lakers,109.0
2023-12-19,Memphis Grizzlies,115.0,New Orleans Pelicans,113.0
2023-12-19,San Antonio Spurs,119.0,Milwaukee Bucks,132.0
2023-12-19,Boston Celtics,126.0,Golden State Warriors,132.0
2023-12-19,Phoenix Suns,104.0,Portland Trail Blazers,109.0
2023-12-20,Utah Jazz,116.0,Cleveland Cavaliers,124.0
2023-12-20,Charlotte Hornets,113.0,Indiana Pacers,144.0
2023-12-20,Miami Heat,115.0,Orlando Magic,106.0
2023-12-20,Minnesota Timberwolves,113.0,Philadelphia 76ers,127.0
2023-12-20,New York Knicks,121.0,Brooklyn Nets,102.0
2023-12-20,Denver Nuggets,113.0,Toronto Raptors,104.0
2023-12-20,Los Angeles Lakers,108.0,Chicago Bulls,124.0
2023-12-20,Atlanta Hawks,134.0,Houston Rockets,127.0
2023-12-20,Los Angeles Clippers,120.0,Dallas Mavericks,111.0
2023-12-20,Boston Celtics,144.0,Sacramento Kings,119.0
2023-12-21,Utah Jazz,119.0,Detroit Pistons,111.0
2023-12-21,New Orleans Pelicans,123.0,Cleveland Cavaliers,104.0
